month_index,income,expenses,savings,cashflow
0,49985.52,31091.75,18893.77,18893.77
1,49964.12,30486.89,19477.23,19477.23
2,50400.24,31055.12,19345.12,19345.12
3,50737.47,31672.58,19064.89,19064.89
4,51342.62,32184.59,19158.02,19158.02
5,51110.69,31614.34,19496.35,19496.35
6,51801.93,31533.4,20268.53,20268.53
7,53079.81,31124.36,21955.44,21955.44
8,53826.03,31567.57,22258.46,22258.46
9,53773.69,31738.54,22035.15,22035.15
10,54305.89,31769.78,22536.1,22536.1
11,54079.06,32937.96,21141.1,21141.1
12,54169.64,33304.99,20864.65,20864.65
13,53648.24,34068.29,19579.95,19579.95
14,55018.88,35383.69,19635.18,19635.18
15,55878.59,34676.07,21202.53,21202.53
16,56983.66,35025.36,21958.31,21958.31
17,57417.69,36126.62,21291.07,21291.07
18,57565.64,37501.04,20064.6,20064.6
19,57137.57,37396.72,19740.86,19740.86
20,57448.9,37332.65,20116.25,20116.25
21,59099.4,37242.36,21857.04,21857.04
22,59763.17,37523.12,22240.05,22240.05
23,60432.52,36944.0,23488.52,23488.52
24,61901.91,37795.99,24105.93,24105.93
25,63693.49,37279.4,26414.09,26414.09
26,63303.81,37448.28,25855.53,25855.53
27,64830.92,37385.42,27445.5,27445.5
28,66522.91,37797.56,28725.36,28725.36
29,67870.16,37197.88,30672.28,30672.28
30,67261.49,37382.72,29878.77,29878.77
31,67500.22,37434.59,30065.63,30065.63
32,67671.74,38364.75,29307.0,29307.0
33,69587.93,39887.54,29700.38,29700.38
34,70011.29,40494.11,29517.18,29517.18
35,70532.6,41722.37,28810.23,28810.23
